Millot V.,-13,1469.7214933825467
Masur D.,-2,1489.1227104268637
Tyurnev E.,-1,1500.0
Kypson P.,-1,1500.0
Blancaneaux G.,-1,1500.0
King E.,-2,1496.8563466057683
Aragone J.,-1,1500.0
Tursunov D.,14,1591.6968761243797
Eysseric J.,-4,1462.1654079910538
Chrysochos P.,-1,1500.0
Harrison C.,-3,1486.1341098774692
Klein B.,-7,1471.7522515038834
Zekic M.,-1,1506.4268987749092
Bega A.,-1,1500.0
Haas T.,164,1597.1317336562095
Leshem E.,-1,1500.0
Sanchez M.,-2,1481.6278694693249
Novikov D.,-6,1496.2548560238488
Bangoura S.,-1,1500.0
Halebian A.,-1,1500.0
Hernandez-Fernandez J.,-1,1500.0
Bellier A.,-2,1486.5468150957201
Dodig I.,-7,1557.829000863397
Groth S.,-17,1527.948440635609
Dancevic F.,-31,1515.612887913563
Ram R.,-34,1529.1327081658321
Krajicek A.,-12,1495.8130468926765
De Greef A.,-2,1509.2381655605277
Marchenko I.,-25,1523.420118184779
Pavlasek A.,-4,1484.9719224973578
